Name,Type,Vendor,Price $/g,Ratings,Flavor notes
100% Natural Green,Green,Lipton,0.09,52,
Spring Harvest Laoshan Green,Green,Verdant,0.48,87,"Dry Grass, Green, Vegetal, Bitter, Broth, Vegetables, Green Beans, Mineral, Nutty, Pepper, Soybean, Spices, Umami, Asparagus, Chestnut, Corn Husk, Grass, Hay, Honey, Lime, Spinach, Creamy, Sweet, Vanilla, Garden Peas, Beany, Peas, Lima Beans, Roasted Nuts"
Huang Shan Mao Feng Green Tea,Green,Teavivre,0.24,83,"Creamy, Dry Grass, Earth, Hay, Lima Beans, Mineral, Nuts, Smoke, Soybean, Vegetal, Broth, Seaweed, Spinach, Cut Grass, Loam, Butter, Chestnut, Cream, Fennel, Floral, Grass, Green Beans, Honey, Lettuce, Malt, Peas, Pine, Straw, Sugarcane, Sweet, Umami, Bok Choy, Flowers, Asparagus, Bitter, Kale, Lilac, Orchid, Green, Pear, Apricot, Citrus, Herbs, Hot Hay, Smooth, Sweet, Warm Grass, Herbaceous, Stonefruit"
Gunpowder Green,Green,Numi,0.22,72,"Grass, Mineral, Smoke, Spinach, Green, Smooth, Vegetal, Citrus, Lemon, Ash, Astringent, Bitter, Burnt, Cardboard, Drying, Herbaceous, Honey"
Mrs. Li's Shi Feng Dragonwell Green Tea,Green,Verdant,0.58,87,"Citrus Zest, Cream, Green, Guava, Nuts, Roasted Nuts, Vanilla, Vegetable Broth, Vegetal, Creamy, Peas, Spicy, Sugarcane, Thick, Butter, Vegetables, Artichoke, Asparagus, Chestnut, Floral, Grass, Green Beans, Hazelnut, Honey, Mineral, Straw, Nutty, Salt, Broccoli, Kettle Corn, Wheat, banana, Spinach, Garden Peas, Soybean, Lettuce, Pine, Smooth, Cucumber, Flowers, Honey Dew, Sweet, Sweet, Warm Grass, Apple, Lima Beans, Beany"
Autumn Harvest Laoshan Green,Green,Verdant,0.24,85,"Rice, Vegetal, Walnut, Sweet, Green Beans, Butter, Malt, Nutty, Oats, Coriander Seed, Milk, Soybean, Asparagus, Hay, Spices, Vanilla, Grass, Peas, Autumn Leaf Pile, Butternut Squash, Spinach, Cookie, Sugar, Astringent, Bitter, Grain, Creamy, Toasted Rice, Nuts, Peach"
White Monkey,Green,Adagio,0.21,71,"Savory, Vegetal, Fruity, Mango, Strawberry, Bitter, Pear, Flowers, Herbaceous, Grass, Hay, Honey, Astringent, Smoke, Spinach, Floral, Grain"
Gyokuro Yamashiro,Green,Davidsteas,0.5,86,"Butter, Grass, Smooth, Vegetal, Spinach, Vegetable Broth, Floral, Forest Floor, Green, Ocean Air, Ocean Breeze, Seaweed, Vegetables, Creamy, Earth, Sweet, Warm Grass, Artichoke, Green Beans, Bok Choy"
Dragonwell,Green,Adagio,0.28,65,"Dirt, Bitter, Broccoli, Chestnut, Smoke, Vegetal, Flowers, Grass, Chocolate"
Sencha Fuka-midori,Green,Dens teas,0.14,80,"Peas, Sweet, Bitter, Creamy, Grass, Roasted, Smooth, Spinach, Vegetal, Nutty, Seaweed, Sweet, Warm Grass"
