Name,Type,Vendor,Price $/g,Ratings,Flavor notes
English Breakfast,Black,Twinings,0.13,75,"Biting, Bitter, Tannic, Malt, Tannin, Autumn Leaf Pile, Bread, Cinnamon, Citrus, Molasses, Smooth, Spices, Toast, Round, Nutty, Smoke, Astringent, Dry Grass, Vegetal, Herbs, Caramel, Grain, Roasted Barley, Pepper, Sweet, Thick, Tobacco, Almond, Nuts, Creamy"
Laoshan Black,Black,Verdant Tea,0.22,88,"Malt, Mineral, Bitter, Cacao, Chocolate, Floral, Roasted Barley, Rye, Spices, Dark Bittersweet, Dark Chocolate, Dates, Raisins, Sweet Potatoes, Honey, Cherry, Cream, Roasted Nuts, Bread, Umami, Sweet, Brown Sugar, Caramel, Burnt Sugar, Cocoa, Dark Wood, Molasses, Roasted, Tannic, Cotton Candy, Graham Cracker, Green Beans, Toasty, Wet Wood, Graham, Wood, Honeysuckle, Toffee, Black Pepper, Nutty, Smoked, Smooth, Marshmallow, Flowers, Roast Nuts, Creamy, Fig, Fruity, Grain, Vanilla, Apricot, Nuts, Oats, Peach, Broth, Tea, Brown Toast, Earth, Licorice, Peat, Plum, Butter, Toast, Wheat, Dried Fruit, Stonefruit, Rose, White Grapes, Coffee, Rum, Salt, Smoke, Oak, Stewed Fruits, Black Currant, Toasted, Cinnamon, Dill, Chestnut, Burnt, Cannabis, Hops, Coconut, Toasted Rice, Soybean, Butterscotch, Custard, Walnut"
Bailin Gongfu Black Tea,Black,Teavivre,0.21,88,"Caramel, Malt, Cocoa, Dark Chocolate, Honey, Bread, Burnt Sugar, Cream, Dried Fruit, Floral, Raisins, Sweet Potatoes, Toasty, Blackberry, Mango, Overripe Cherries, Fruity, Sweet, Dark Wood, Drying, Smooth, Astringent, Leather, Bitter, Chocolate, Earth, Wheat, Perfume, Tea, Grain, Tannic, Yams, Coffee, Molasses, Hay, Thick, Mineral, Nectar, Smoke, Cannabis"
Awake English Breakfast,Black,tazo,0.25,59,"Tannic, Tea, Astringent, Autumn Leaf Pile, Bitter, Leather, Raisins, Tannin, Citrus, Malt, Earth, Herbs"
Irish Breakfast,Black,twinings,0.13,89,"Bread, Creamy, Honey, Malt, Molasses, Raisins, Smooth, Sweet Potatoes, Yams, Floral, Fruity, Stonefruit, Astringent, Caramel, Cocoa, Earth, Wood, Brown Sugar, Strawberry, Sweet, Bitter, Apricot, Dust, Flowers, Peach, Chocolate, Nuts, Nutty, White Chocolate, Dark Chocolate, Berries, Citrus Fruits, Smoke, Carrot, Citrus, Dark Wood, Cherry, Coconut, Overripe Cherries, Bergamot, Butter, Citrus Zest, Burnt Sugar, Grain, Toast, Leather, Loam"
PG Tips,Black,PG Tips,0.22,74,"Dark Wood, Heavy, Malt, Tea, Green Beans, Metallic, Sawdust, Cocoa, Smooth, Earth, Grass"
Black Dragon Pearls,Black,adagio,0.28,82,"Cocoa, Hay, Honey, Leather, Chocolate, Earth, Apricot, Bread, Malt, Smooth, Caramel, Cedar, Cream, Mineral, Orange, Pine, Plum, Raisins, Roasted Nuts, Smoke, Toast, Vanilla, Dark Bittersweet, Scotch, Wheat"
Lipton Black Tea,Black,lipton,0.02,85,"Wood, Lemon, Astringent, Bitter, Herbs, Medicinal, Tea, Honey, Sugar"
Fengqing Dragon Pearl Black Tea,Black,teavivre,0.18,85,"Jasmine, Chocolate, Leather, Toffee, Dark Chocolate, Wood, Berries, Cocoa, Dried Fruit, Honey, Malt, Strawberry, Sweet, Sweet Potatoes, Autumn Leaf Pile, Bread, Fruity, Mineral, Floral, Smoke, Raisins, Wet Wood, Wet wood, Brown Sugar, Molasses, Musty, Spices, Thick, Burnt Sugar, Earth, Toast, Smooth, Apricot, Earthy, Stonefruit, Wheat, Woody, Wet Earth"
Golden Fleece,Black,Verdant Tea,0.47,88,"Butter, Grapes, Hay, Medicinal, Sour, Almond, Graham Cracker, Green Wood, Apple, Chocolate, Graham, Malt, Sweet Potatoes, Vanilla, Honeysuckle, Jasmine, Pumpkin, Anise, Bread, Caramel, Celery, Cocoa, Fennel, Honey, Lemon, Lettuce, Mineral, Nutmeg, Orange, Saffron, Vegetal, Wood, Yams, Orange Blossom, Sweet, Creamy, Spices, Mushrooms, Brown Sugar, Coffee, Meat, Roasted Barley, Smoke, Cinnamon, Smooth, Pastries, Earth, Musty, Sugar, Grass, Sugarcane"
Irish Breakfast,Black,adagio,0.11,78,"Cocoa, Drying, Malt, Metallic, Sweet Potatoes, Caramel, Cardboard, Sweet, Wet Wood, Wood, Bread, Fruity, Honey, Smooth, Spicy, Astringent, Tannin, Orange Zest"
Award Winning Yun Nan Dian Hong Black Tea – Golden Tip,Black,Teavivre,0.27,89,"Bread, Creamy, Honey, Malt, Molasses, Raisins, Smooth, Sweet Potatoes, Yams, Floral, Fruity, Stonefruit, Astringent, Caramel, Cocoa, Earth, Wood, Brown Sugar, Strawberry, Sweet, Bitter, Apricot, Dust, Flowers, Peach, Chocolate, Nuts, Nutty, White Chocolate, Dark Chocolate, Berries, Citrus Fruits, Smoke, Carrot, Citrus, Dark Wood, Cherry, Coconut, Overripe Cherries, Bergamot, Butter, Citrus Zest, Burnt Sugar, Grain, Toast, Leather, Loam"
Zhu Rong Yunnan Black,Black,Verdant Tea,0.25,89,"Apricot, Caramel, Dark Chocolate, Wet Moss, Yams, Nuts, Nutty, Honey, Malt, Mineral, Smoke, Cedar, Creamy, Floral, Lemon, Peppercorn, Sugarcane, Cocoa, Earth, Sweet, Burnt, Cinnamon, Roasted, Brown Sugar, Chocolate, Cream, Lemon Zest, Marzipan, Nutmeg, Orange, Pine, Roasted Nuts, Toast, Vanilla, Wheat, Cacao, Dark Bittersweet, Campfire, Fruity, Milk, Plum, Umami, Wet Earth, Whiskey, Wood, Grain, Sweet Potatoes, Raisins, Tobacco, Marshmallow, Spicy, Bread, Yeast, Citrus, Berries, Coffee, Molasses, Graham Cracker, Muscatel"
Premium Golden Monkey Black Tea,Black,Teavivre,0.2,87,"Malt, Caramel, Dark Chocolate, Bitter, Sweet Potatoes, Bread, Cocoa, Fruity, Honey, Yams, Brown Sugar, Flowers, Graham Cracker, Rose, Chocolate, Cream, Sweet, Tea, Astringent, banana, Cacao, Cinnamon, Earth, Grapes, Grass, Maple Syrup, Wood, Dark Wood, Maple, Nutty, Smoke, Tobacco, Leather, Molasses, Salt, Drying, Fig, Tannin, Grain, Smooth, Thick, Apricot, Caraway, Hay, Mineral, Savory, Strawberry, Coffee, Butter"
nepal black,Black,davids teas,0.3,83,"Ash, Honey, Malt, Smoke, Tannin, Wet Earth, Wood, Wet Wood, Brisk, Sweet, Dark Chocolate, Hazelnut, Chocolate, Musty, Nuts, Earth, Smooth, Creamy, Dark Bittersweet, Bread, Bitter, Dry Grass, Hay, Molasses, Flowers, Cocoa, Apricot, Fruity, Mineral, Peach, Maple"
Golden Monkey,Black,teavana,0.81,71,"Caramel, Cocoa, Honey, Smoke, Sweet, Astringent, Bitter, Hay, Malt, Sour, Bread, Wet Earth, Creamy, Wet Moss, Wet wood, Earth, Apricot, Chocolate, Dried Fruit, Pecan"
Yu Lu Yan Cha Black,Black,Verdant Tea,0.25,86,"Chocolate, Cinnamon, Honey, Stonefruit, Cocoa, Honeysuckle, Malt, Mineral, Roasted, Wood, Ash, Sugar, Oak, Orange, Sweet Potatoes, Vanilla, Earth, Grain, Roasted Barley, Smoke, Smooth, Toasty, Sweet, Vegetal, Pastries, Yams, Cookie, Toasted, Cannabis, Rye, Butter, Bread, Dill, Flowers, Muscatel, Spices, Drying"
Queen Catherine,Black,harney and sons0.08,0.08,83,"Chocolate, Cream, Smoke, Honey, Smooth, Bergamot, Malt, Sweet, Tannin, Leather, Peat, Red Fruits, Cocoa, Creamy, Autumn Leaf Pile, Tannic, Spices, Earth, Hay, Raisins, Molasses"
Golden Monkey,Black,adagio,0.25,81,"Apple, Chestnut, Malt, Smoked, Chocolate, Honey, Dark Chocolate, Earth, Black Pepper, Cinnamon, Cocoa, Cream, Leather, Oak, Pine, Toast"
darjeeling,Black,Twinings,0.13,58,"Tannic, Tea, Caramel, Cut Grass, Floral, Malt, Astringent, Wood, Biting, Bitter, Earth, Honey, Straw, Grapes, Raisins, Flowers"
Black Dragon Pearl,Black,teavana,0.8,83,"Chocolate, Malt, Cocoa, Molasses, Honey, Smooth, Cacao, Earth, Scotch, Cedar"
